A10.1	Adults Critical limb ischaemia Prostanoids Placebo mortality reduction
M2.2	In Chinese patients impaired glucose tolerance do lifestyle interventions (diet, exercise or both) compare to no-intervention (routine advice) prevent or delay type 2 diabetes mellitus
M2.3	In patients impaired glucose tolerance do pharmacological interventions (oral diabetes drugs or antiobesity drugs) prevent or delay type 2 diabetes mellitus
M2.4	In overweight patients impaired glucose tolerance do pharmacological interventions (oral diabetes drugs or antiobesity drugs) prevent or delay type 2 diabetes mellitus
M2.5	In Japanese men impaired glucose tolerance do lifestyle interventions (diet, exercise or both) compare to no-intervention (routine advice) prevent or delay type 2 diabetes mellitus
M2.6	In Japanese Americans impaired glucose tolerance do lifestyle interventions (diet, exercise or both) compare to no-intervention (routine advice) prevent or delay type 2 diabetes mellitus
M3.1	In patients with type 2 diabetes mellitus, does group-based education (GBE) in self management improve clinical, lifestyle, and psychosocial outcomes
M3.2	In patients with type 2 diabetes mellitus, does group-based education (GBE) in self management improve glycated haemoglobin or fasting blood glucose (clinical outcomes)
M3.3	In patients with type 2 diabetes mellitus, does group-based education (GBE) in self management improve diabetes complications (foot ulcer, Albuminuria, diabetic Retinopathy)
M4.1	In males and females type 2 diabetes mellitus aerobic, fitness or progressive resistance training exercise no exercise glycaemic control measured as percent glycated haemoglobin (HbA1c)
M5.1	In pregnant women diabetes exercise programs alone no specific program perinatal and maternal morbidity
M5.2	In pregnant women diabetes exercise programs alone no specific program frequency of prescription of insulin to control glycaemia
M5.3	In pregnant women diabetes exercise programs alone other therapies perinatal and maternal morbidity
M5.4	In pregnant women diabetes exercise programs alone other therapies frequency of prescription of insulin to control glycaemia
M5.5	In pregnant women diabetes exercise programs in conjunction with other therapies no specific program perinatal and maternal morbidity
M5.6	In pregnant women diabetes exercise programs in conjunction with other therapies no specific program frequency of prescription of insulin to control glycaemia
M5.7	In pregnant women diabetes exercise programs in conjunction with other therapies other therapies perinatal and maternal morbidity
M5.8	In pregnant women diabetes exercise programs in conjunction with other therapies other therapies frequency of prescription of insulin to control glycaemia
M6.1	In obese patients diabetes fluoxetine Placebo Weight loss
M6.2	In obese patients diabetes orlistat Placebo Weight loss
M6.3	In obese patients diabetes sibutramine Placebo Weight loss
M7.1	In people type 2 diabetes mellitus omega-3 PUFA supplementation Placebo cardiovascular outcomes
M7.2	In People type 2 diabetes mellitus omega-3 PUFA supplementation Placebo cholesterol levels
M7.3	In People type 2 diabetes mellitus omega-3 PUFA supplementation Placebo glycemic control
M8.1	In people type 2 diabetes mellitus metformin monotherapy Placebo mortality
M8.2	In People type 2 diabetes mellitus metformin monotherapy Placebo morbidity
M8.3	In People type 2 diabetes mellitus metformin monotherapy Placebo quality of life
M8.4	In People type 2 diabetes mellitus metformin monotherapy Placebo glycaemic control
M8.5	In People type 2 diabetes mellitus metformin monotherapy Placebo body weight
M8.6	In People type 2 diabetes mellitus metformin monotherapy Placebo lipid levels
M8.7	In People type 2 diabetes mellitus metformin monotherapy Placebo blood pressure
M8.8	In People type 2 diabetes mellitus metformin monotherapy Placebo insulinaemia
M8.9	In People type 2 diabetes mellitus metformin monotherapy Placebo albuminuria
M8.10	In people type 2 diabetes mellitus metformin monotherapy Sulphonylureas mortality
M8.11	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas morbidity
M8.12	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas quality of life
M8.13	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas glycaemic control
M8.14	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas body weight
M8.15	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas lipid levels
M8.16	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas blood pressure
M8.17	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas insulinaemia
M8.18	In People type 2 diabetes mellitus metformin monotherapy Sulphonylureas albuminuria
M9.1	In people type 2 diabetes mellitus long-term treatment with long-acting insulin analogues (insulin glargine and insulin detemir) NPH insulin HbA1c
M10.1	In people type 2 diabetes mellitus Intensive diabetic control Normal diabetic control development of cognitive impairment and dementia
Q12.1	people recurrent aggression any antiepileptic drug in any dosage, length of time placebo observer-reported aggression (Modified Overt Aggression Scale)
Q12.2	people recurrent aggression any antiepileptic drug in any dosage, length of time placebo adverse event, weight gain
Q12.3	people recurrent aggression any antiepileptic drug in any dosage, length of time placebo anger (more than one angry outburst over 6 weeks)
Q13.1	Infants and children (age older than 28 days and up to 16 years) proven, probable, suspected invasive fungal infection antifungal therapy different systemic antifungal agents or combination of agents/no treatment/inactive placebo mortality regardless of cause
Q13.2	Infants and children (age older than 28 days and up to 16 years) proven, probable, suspected invasive fungal infection antifungal therapy different systemic antifungal agents or combination of agents/no treatment/inactive placebo complete resolution of fungal infection
Q13.3	Infants and children (age older than 28 days and up to 16 years) proven, probable, suspected invasive fungal infection antifungal therapy different systemic antifungal agents or combination of agents/no treatment/inactive placebo resolution of fever in suspected fungal infection
Q14.1	women pregnant undergoing surgical abortion at less than 14 weeks gestation any type of cervical preparation administered prior to first trimester surgical abortion (excluding nitric oxide donors) placebo cervical dilation at procedure start
Q14.2	women pregnant undergoing surgical abortion at less than 14 weeks gestation any type of cervical preparation administered prior to first trimester surgical abortion (excluding nitric oxide donors) placebo nausea
Q14.3	women pregnant undergoing surgical abortion at less than 14 weeks gestation any type of cervical preparation administered prior to first trimester surgical abortion (excluding nitric oxide donors) placebo need for additional mechanical dilation
Q15.1	adults 18 or older schizophrenia and other schizophrenia-like psychoses oral risperidone, any dose or form placebo severity of illness
Q15.2	adults 18 or older schizophrenia and other schizophrenia-like psychoses oral risperidone, any dose or form placebo mental state, no specific degree of response (defined by PANSS total change)
Q15.3	adults 18 or older schizophrenia and other schizophrenia-like psychoses oral risperidone, any dose or form placebo average endpoint scores, various scales
Q16.1	people older than 16 years undergoing highly emetogenic chemotherapy 5-HT3 receptor antagonist as single anti-emetic different 5-HT3 receptor antagonist as single anti-emetic acute nausea and vomiting
Q16.2	people older than 16 years undergoing highly emetogenic chemotherapy 5-HT3 receptor antagonist as single anti-emetic different 5-HT3 receptor antagonist in combination with cortecosterois acute nausea and vomiting
Q17.1	people 16 years or older rheumatoid arthritis all forms of surgical treatment in the management of the rheumatoid arthritis no treatment/placebo/other therapy pain at 1-year follow-up
Q17.2	people 16 years or older rheumatoid arthritis all forms of surgical treatment in the management of the rheumatoid arthritis no treatment/placebo/other therapy range of motion at 1-year follow-up
Q17.3	people 16 years or older rheumatoid arthritis all forms of surgical treatment in the management of the rheumatoid arthritis no treatment/placebo/other therapy strength at 1-year follow-up
Q18.1	adults 18 years or older depression in context of physical illness all types of antidepressants placebo response to treatment
Q18.2	adults 18 years or older depression in context of physical illness all types of antidepressants placebo depression scores
Q19.1	women pregnant and HIV-infected requiring antiretroviral therapy (ART) antiretroviral therapy (ART) regime another ART regime infant mortality
Q19.2	women pregnant and HIV-infected requiring antiretroviral therapy (ART) antiretroviral therapy (ART) regime another ART regime maternal mortality
Q19.3	women pregnant and HIV-infected requiring antiretroviral therapy (ART) antiretroviral therapy (ART) regime another ART regime infant low birth weight
Q20.1	adults 18 years of age or older any type of pneumonia chest physiotherapy of any type no chest physiotherapy mortality
Q20.2	adults 18 years of age or older any type of pneumonia chest physiotherapy of any type no chest physiotherapy cure rate
Q20.3	adults 18 years of age or older any type of pneumonia chest physiotherapy of any type no chest physiotherapy duration of hospital stay
Q1.1	adults (18 or older) diabetes mellitus complex intervention single interventions/usual care/alternative complex interventions foot ulcers
Q1.2	adults (18 or older) diabetes mellitus complex intervention single interventions/usual care/alternative complex interventions amputation (partial/total)
Q1.3	adults (18 or older) diabetes mellitus preventative intervention usual care patient self-care behaviour
Q2.1	adults and children type 1 diabetes mellitus continuous subcutaneous insulin infusion multiple insulin injections HbA1c
Q2.2	adults and children type 1 diabetes mellitus continuous subcutaneous insulin infusion multiple insulin injections daily mean blood glucose
Q2.3	adults and children type 1 diabetes mellitus continuous subcutaneous insulin infusion multiple insulin injections hypoglycaemic episodes
Q3.1	adults cocaine dependent disulfiram alone or in combination with any psychosocial intervention placebo/no intervention/naltrexone dropouts from the treatment
Q3.2	adults cocaine dependent disulfiram alone or in combination with any psychosocial intervention placebo/no intervention/naltrexone maximum weeks of consecutive abstinence from cocaine
Q4.1	adults non-metastatic colorectal cancer 6-month adjuvant chemotherapy 9- or 12-month adjuvant chemotherapy relapse free survival
Q4.2	adults non-metastatic colorectal cancer 6-month adjuvant chemotherapy 9- or 12-month adjuvant chemotherapy overall survival
Q5.1	patients (no age restriction) receiving cyclosporine treatment for any disease cyclosporine placebo mean arterial pressure
Q5.2	patients (no age restriction) receiving cyclosporine treatment for any disease cyclosporine placebo mean arterial pressure
Q5.3	patients (no age restriction) receiving cyclosporine treatment for any disease cyclosporine placebo blood pressure
Q6.1	women undergoing assisted reproductive technology procedure with frozen embryo replacement cycles endometrial preparation with GnRH agonists endometrial preparation with other GnRH agonists/no treatment live birth rate
Q6.2	women undergoing assisted reproductive technology procedure with frozen embryo replacement cycles endometrial preparation with estrogen endometrial preparation with other doses of estrogen clinical pregnancy
Q6.3	women undergoing assisted reproductive technology procedure with fresh donor cycles endometrial preparation with GnRH agonists endometrial preparation with other GnRH agonists/no treatment cancelled cycles
Q7.1	adults symptomatic chronic heart failure and anaemia any erythropoeisis-stimulating agent with or without iron supplementation placebo/no treatment exercise tolerance
Q7.2	adults symptomatic chronic heart failure and anaemia any erythropoeisis-stimulating agent with or without iron supplementation placebo/no treatment quality of life
Q7.3	adults symptomatic chronic heart failure and anaemia any erythropoeisis-stimulating agent with or without iron supplementation placebo/no treatment haemoglobin level
Q8.1	adults chronic musculoskeletal pain interventions aimed to improve adherence to exercise or physical activity no intervention/other exercise interventions adherence to exercise program
Q8.2	adults chronic musculoskeletal pain interventions aimed to improve adherence to exercise or physical activity no intervention/other exercise interventions quality of life
Q21.1	adults requiring peripheral IV catheter in situ for atleast 3 days for administration of intermittent/continuous therapy clinically-indicated replacement of peripheral IV catheter routine replacement, any duration suspected catheter-related bacteraemia
Q21.2	adults requiring peripheral IV catheter in situ for atleast 3 days for administration of intermittent/continuous therapy clinically-indicated replacement of peripheral IV catheter routine replacement, any duration thrombophlebitis
Q21.3	adults requiring peripheral IV catheter in situ for atleast 3 days for administration of intermittent/continuous therapy clinically-indicated replacement of peripheral IV catheter routine replacement, any duration cost of materials and labour associated with IV catheter-related insertion
Q22.1	health professionals/patients involved in clinical pathway (CPW) utilization in hospital setting standalone clinical pathway usual care length of stay
Q22.2	health professionals/patients involved in clinical pathway (CPW) utilization in hospital setting standalone clinical pathway usual care patient satisfaction
Q22.3	health professionals/patients involved in clinical pathway (CPW) utilization in hospital setting standalone clinical pathway usual care direct hospital costs
Q23.1	adults exposed to traumatic event with psychological intervention within 3 months of event any psychological intervention designed to treat/reduce symptoms of traumatic stress wait list/usual care/other psychological intervention severity of PTSD symptoms (clinician administered)
Q23.2	adults exposed to traumatic event with psychological intervention within 3 months of event any psychological intervention designed to treat/reduce symptoms of traumatic stress wait list/usual care/other psychological intervention depression
Q23.3	adults exposed to traumatic event with psychological intervention within 3 months of event any psychological intervention designed to treat/reduce symptoms of traumatic stress wait list/usual care/other psychological intervention anxiety
Q24.1	adults requiring peripheral arterial thrombolysis to achieve patency after a thrombo-embolic occlusion of a native peripheral artery or thrombosed lower limb graft all types of thrombolytic interventions other agents vessel patency post-lysis
Q24.2	adults requiring peripheral arterial thrombolysis to achieve patency after a thrombo-embolic occlusion of a native peripheral artery or thrombosed lower limb graft all types of thrombolytic interventions other agents amputation
Q24.3	adults requiring peripheral arterial thrombolysis to achieve patency after a thrombo-embolic occlusion of a native peripheral artery or thrombosed lower limb graft all types of thrombolytic interventions other agents asymptomatic limb salvage
Q25.1	adults 18 or older primary diagnosis of depression fluvoxamine, any dose/mode/pattern of administration imipramine response, reduction of atleast 50% on Hamilton Rating Scale for Depression or Montgomery Asberg Depression Rating Scale (acute phase)
Q25.2	adults 18 or older primary diagnosis of depression fluvoxamine, any dose/mode/pattern of administration clomipramine response, reduction of atleast 50% on Hamilton Rating Scale for Depression or Montgomery Asberg Depression Rating Scale (early phase)
Q25.3	adults 18 or older primary diagnosis of depression fluvoxamine, any dose/mode/pattern of administration tricyclics (TCAs) remission (acute phase)
Q26.1	adults 18 years and over any type of wound in any care setting topical applications containing silver topical applications without silver number of patients that developed wound infection
Q26.2	adults 18 years and over any type of wound in any care setting wound dressings containing silver wound dressings without silver mean pain scores
Q26.3	adults 18 years and over any type of wound in any care setting wound dressings containing silver wound dressings without silver number of patients that developed wound infection
Q27.1	adults and children long term anticoagulant therapy (longer than two months) irrespective of indication for treatment self-monitoring or self-management control of dosage by personal physician/anticoagulation managed services/anticoagulation clinics thromboembolic events
Q27.2	adults and children long term anticoagulant therapy (longer than two months) irrespective of indication for treatment self-monitoring or self-management control of dosage by personal physician/anticoagulation managed services/anticoagulation clinics mortality
Q27.3	adults and children long term anticoagulant therapy (longer than two months) irrespective of indication for treatment self-monitoring or self-management control of dosage by personal physician/anticoagulation managed services/anticoagulation clinics major haemorrhage
Q28.1	women pregnant any method of vaginal cleansing with any type of antiseptic solution placebo solution/standard of care (no vaginal preparation) post-cesarean endometriosis
Q28.2	women pregnant any method of vaginal cleansing with any type of antiseptic solution placebo solution/standard of care (no vaginal preparation) postoperative fever
Q28.3	women pregnant any method of vaginal cleansing with any type of antiseptic solution placebo solution/standard of care (no vaginal preparation) wound infection
Q29.1	adults over 16 years old indwelling urethral, suprapubic or perineal catheter in-situ for more than 28 days catheter washouts with water/saline/antiseptic/acidic or antibiotic solutions/combination of these no washout weeks to first catheter change
Q29.2	adults over 16 years old indwelling urethral, suprapubic or perineal catheter in-situ for more than 28 days citric acid washout saline washout number of people with symptomatic UTI
Q29.3	adults over 16 years old indwelling urethral, suprapubic or perineal catheter in-situ for more than 28 days citric acid washout saline washout weeks to first catheter change
Q30.1	adults clinical diagnosis of stroke simultaneous bilateral training usual care performance in activities of daily living
Q30.2	adults clinical diagnosis of stroke simultaneous bilateral training usual care functional movement of upper limb
Q30.3	adults clinical diagnosis of stroke simultaneous bilateral training usual care motor impairment of upper limb
Q31.1	adults (15 years old or above) moderate to severe postoperative pain orally administered codeine placebo participants with ≥50% pain relief
Q31.2	adults (15 years old or above) moderate to severe postoperative pain orally administered codeine placebo more than 1 adverse event
Q31.3	adults (15 years old or above) moderate to severe postoperative pain orally administered codeine placebo participants using rescue medication
Q32.1	adults (15 years old or above) moderate to severe intensity pain following day surgery/in-patient surgery single oral dose of diflusinal placebo participants with ≥50% pain relief
Q32.2	adults (15 years old or above) moderate to severe intensity pain following day surgery/in-patient surgery single oral dose of diflusinal placebo participants using rescue medication
Q32.3	adults (15 years old or above) moderate to severe intensity pain following day surgery/in-patient surgery single oral dose of diflusinal placebo atleast one adverse event
Q33.1	adult couples subfertility where intrauterine insemination (IUI) is first treatment option hCG synchronization method for IUI LH surge synchronization method for IUI live birth rate per couple
Q33.2	adult couples subfertility where intrauterine insemination (IUI) is first treatment option hCG synchronization method for IUI LH surge synchronization method for IUI pregnancy rate per couple
Q33.3	adult couples subfertility where intrauterine insemination (IUI) is first treatment option u-hCG synchronization method for IUI r-hCG synchronization method for IUI multiple pregnancy rate per couple
Q34.1	adults (18 years of age or older) cluster headache zolmitriptan placebo headache relief
Q34.2	adults (18 years of age or older) cluster headache sumatriptan placebo headache relief
Q34.3	adults (18 years of age or older) cluster headache zolmitriptan placebo pain-free
Q35.1	women early pregnancies (less than 24 weeks gestation) routine/revealed ultrasound examination selective/concealed ultrasound examination detection of fetal abnormality before 24 weeks gestation
Q35.2	women early pregnancies (less than 24 weeks gestation) routine/revealed ultrasound examination selective/concealed ultrasound examination detection of multiple pregnancy by 24-26 weeks gestation
Q35.3	women early pregnancies (less than 24 weeks gestation) routine/revealed ultrasound examination selective/concealed ultrasound examination induction of labour for post-term pregnancy
Q36.1	adults 18 years or more non-immunocompromised with clinical/subclinical genital warts topical 5-FU placebo cure
Q36.2	adults 18 years or more non-immunocompromised with clinical/subclinical genital warts topical 5-FU placebo partial response/melhora
Q36.3	adults 18 years or more non-immunocompromised with clinical/subclinical genital warts topical 5-FU placebo recurrence of lesion
Q37.1	adults 18 years or more migraine aspirin alone placebo pain free
Q37.2	adults 18 years or more migraine aspirin plus an antiemetic placebo pain free
Q37.3	adults 18 years or more migraine aspirin plus metoclopramide active comparator use of rescue medication
Q38.1	adults 18 years or older non-specific acute and subacute low back pain chiropractic intervention other intervention pain
Q38.2	adults 18 years or older non-specific acute and subacute low back pain chiropractic intervention other intervention disability
Q38.3	adults 18 years or older non-specific acute and subacute low back pain chiropractic intervention other intervention pain
Q39.1	adults total hip or knee replacement prophylactic anticoagulation with direct thrombin inhibitors vitamin K antagonists/low molecular weight heparins major bleeding
Q39.2	adults total hip or knee replacement prophylactic anticoagulation with direct thrombin inhibitors warfarin major venous thromboembolism event
Q40.1	individuals, any age or gender primary clinical diagnosis of anorexia nervosa family therapy standard care/treatment as usual remission post intervention
Q40.2	individuals, any age or gender primary clinical diagnosis of anorexia nervosa family therapy psychological interventions maintenance of remission at follow-up
Q40.3	individuals, any age or gender primary clinical diagnosis of anorexia nervosa family therapy psychological interventions cognitive distortion post intervention
Q41.1	children and adults receiving invasive mechanical ventilation in any setting heat and moisture exchangers heated humidifiers artificial airway occlusion
Q41.2	children and adults receiving invasive mechanical ventilation in any setting heat and moisture exchangers heated humidifiers mortality
Q41.3	children and adults receiving invasive mechanical ventilation in any setting heat and moisture exchangers heated humidifiers pneumonia
Q42.1	infants hospitalized for acute bronchiolitis treatment with inhaled heliox placebo (oxygen or air) need for mechanical ventilation
Q42.2	infants hospitalized for acute bronchiolitis treatment with inhaled heliox placebo (oxygen or air) rate of intubation
Q42.3	infants hospitalized for acute bronchiolitis treatment with inhaled heliox placebo (oxygen or air) length of PICU stay
Q43.1	women undergoing routine ultrasound during pregnancy high feedback during routine ultrasound low feedback maternal anxiety
Q43.2	women undergoing routine ultrasound during pregnancy high feedback during routine ultrasound low feedback cessation of alcohol
Q43.3	women undergoing routine ultrasound during pregnancy high feedback during routine ultrasound low feedback cessation of smoking
Q44.1	children and adults living in rural/urban malarious areas indoor residual spraying with insecticides recommended by WHO at correct dosage no insecticide-based malaria intervention incidence of re-infection after treatment
Q44.2	children and adults living in rural/urban malarious areas indoor residual spraying with insecticides recommended by WHO at correct dosage no insecticide-based malaria intervention uncomplicated clinical malaria episodes
Q44.3	children and adults living in rural/urban malarious areas indoor residual spraying with insecticides recommended by WHO at correct dosage no insecticide-based malaria intervention all cause child mortality
Q45.1	patients upper and/or lower full arch fixed orthodontic appliances 0.016" superelastic NiTi initial arch wires 0.016" NiTi initial arch wires alignment rate (contact point movement, in mm)
Q45.2	patients upper and/or lower full arch fixed orthodontic appliances 0.014" superelastic NiTi initial arch wires 0.014" NiTi initial arch wires pain intensity measured by VAS
Q45.3	patients upper and/or lower full arch fixed orthodontic appliances 0.014" superelastic NiTi initial arch wires 0.014" NiTi initial arch wires pain intensity measured by VAS
Q46.1	adults, over 18 years of age unilateral or bilateral fractures of the mandibular condyles any form of open or close method of reduction and fixation other method of treatment status of occlusion
Q46.2	adults, over 18 years of age unilateral or bilateral fractures of the mandibular condyles any form of open or close method of reduction and fixation other method of treatment degree of function post-operatively
Q46.3	adults, over 18 years of age unilateral or bilateral fractures of the mandibular condyles any form of open or close method of reduction and fixation other method of treatment quality of life
Q47.1	adults smokers and non smokers exposed to comprehensive or partial smoking bans legislative bans (comprehensive or partial) on smoking without smoking ban or no control group prevalence of tobacco use
Q47.2	adults smokers and non smokers exposed to comprehensive or partial smoking bans legislative bans (comprehensive or partial) on smoking without smoking ban or no control group biological markers of smoke exposure in physiological fluids
Q47.3	adults smokers and non smokers exposed to comprehensive or partial smoking bans legislative bans (comprehensive or partial) on smoking without smoking ban or no control group tobacco consumption
Q48.1	adults 18 years or older rheumatoid arthritis methotrexate combined with other non-biologic disease modifying anti-rheumatic drugs (DMARDs) methotrexate alone American College of Rhematology (ACR) cores set response of DMARD naive
Q48.2	adults 18 years or older rheumatoid arthritis methotrexate combined with other non-biologic disease modifying anti-rheumatic drugs (DMARDs) methotrexate alone or methotrexate plus placebo withdrawal due to lack of efficacy
Q48.3	adults 18 years or older rheumatoid arthritis methotrexate combined with other non-biologic disease modifying anti-rheumatic drugs (DMARDs) methotrexate alone ACR response of non-MTX DMARDS inadequate response
Q49.1	women undergoing induction of labour to terminate pregnancy in second/third trimester after intrauterine fetal death or for fetal anomalies misoprostol to induce labour placebo/no treatment vaginal birth not achieved
Q49.2	women undergoing induction of labour to terminate pregnancy in second/third trimester after intrauterine fetal death or for fetal anomalies misoprostol to induce labour placebo/no treatment mean induction to birth interval
Q49.3	women undergoing induction of labour to terminate pregnancy in second/third trimester after intrauterine fetal death or for fetal anomalies vaginal misoprostol to induce labour oral misoprostol analgesia required
Q9.1	adults pain due to any cause other than cancer lasting for at least three months any opioid taken by any route in any dose for at least 6 months discontinuation due to adverse events
Q9.2	adults pain due to any cause other than cancer lasting for at least three months any opioid taken by any route in any dose for at least 6 months discontinuation due to insufficient pain relief
Q9.3	adults pain due to any cause other than cancer lasting for at least three months any opioid taken by any route in any dose for at least 6 months pain score
Q10.1	Adult women endometrial cancer Pelvic lymphadenectomy no lymphadenectomy Overall survival
Q10.2	Adult women endometrial cancer Pelvic lymphadenectomy pelvic lymph node sampling Adverse event: Lymphoedema or lymphocyst
Q10.3	Adult women endometrial cancer Pelvic lymphadenectomy no lymphadenectomy Recurrence-free survival
Q11.1	adult tobacco users intervention based on motivational interviewing principles brief advice/low-intensity intervention/routine care smoking cessation (longest duration and strictest definition of abstinence)
Q11.2	adult tobacco users intervention based on motivational interviewing principles brief advice/low-intensity intervention/routine care session duration